age,income,spending_score,visits,online_ratio
34,54766,39,9,0.54
49,111074,67,9,0.25
49,95903,27,1,0.21
51,121394,41,4,0.38
18,28010,72,16,1.0
25,42858,84,13,0.73
21,33927,54,8,0.96
52,103491,78,10,0.93
49,69579,40,0,0.39
55,73860,68,3,0.23
27,31448,57,15,0.78
46,106849,69,9,0.37
43,66166,93,12,0.67
23,24789,58,15,0.91
22,25771,64,16,0.59
21,34690,48,10,0.8
37,57274,47,4,0.2
30,67012,30,6,0.51
35,22561,64,5,0.59
29,43617,92,13,0.84
44,70128,46,5,0.28
30,50813,85,7,0.77
18,34524,60,10,0.68
32,71483,70,5,0.63
31,53350,61,7,0.26
53,93115,32,0,0.29
27,40318,72,9,0.79
32,70778,36,6,0.46
51,92763,37,5,0.29
24,20205,56,8,0.9
62,85856,30,4,0.3
19,23195,55,11,0.67
23,25355,76,10,0.87
69,158343,80,8,0.62
58,106604,82,4,0.73
50,77316,90,7,0.78
21,56478,28,8,0.43
25,33556,79,15,0.83
48,94480,37,3,0.6
46,75340,49,5,0.33
30,28927,73,7,0.86
33,57335,73,3,0.49
20,23720,54,9,0.82
42,156212,82,10,0.5
25,29032,75,15,0.8
51,98058,41,4,0.46
24,49848,56,11,0.59
43,46690,52,4,0.42
37,38124,53,6,0.41
28,27017,65,12,0.81
54,128594,99,2,0.9
58,45557,48,4,0.31
35,120819,80,16,0.84
54,101037,67,7,0.51
54,72377,36,3,0.45
42,96894,70,6,0.61
26,17794,81,12,0.81
21,40100,79,15,0.73
23,25585,54,14,0.62
31,56380,57,6,0.52
38,53078,50,9,0.52
29,31476,67,4,0.97
29,117914,92,7,0.73
31,45976,50,4,0.62
29,46492,86,17,0.89
28,45447,35,1,0.61
29,38192,79,13,0.72
58,121733,77,10,0.42
20,36226,75,9,0.9
40,124420,72,7,0.51
50,66955,42,0,0.31
28,29973,85,8,0.81
24,28638,73,18,0.84
45,153511,72,3,0.73
39,66490,45,4,0.42
55,89575,43,3,0.34
55,75070,57,4,0.21
23,41820,93,9,0.81
39,49203,48,5,0.42
30,28450,92,12,1.0
37,91936,78,9,0.63
62,64967,29,1,0.35
52,51777,42,6,0.39
25,29026,38,11,0.85
35,29178,31,11,0.44
40,46370,16,4,0.2
46,41564,51,3,0.37
51,77134,63,1,0.07
33,146182,66,7,0.64
38,55922,44,8,0.32
20,28188,54,10,0.77
44,76056,42,7,0.23
59,80336,51,5,0.25
37,88206,44,5,0.15
45,62287,39,0,0.04
34,71931,55,7,0.5
35,53816,43,6,0.38
42,55226,50,6,0.23
24,31127,88,14,0.84
20,15852,95,18,0.88
25,32585,78,15,0.84
32,88877,45,1,0.28
27,47650,50,1,0.6
23,59338,55,2,0.41
61,116713,76,6,0.73
23,25738,75,6,0.87
25,54601,38,10,0.55
45,57987,57,4,0.31
20,29779,76,13,0.74
26,44178,76,16,0.85
26,43290,70,9,0.9
22,26343,78,2,0.76
38,107425,71,11,0.62
32,126587,68,9,0.54
37,55986,37,2,0.25
37,114139,82,6,0.83
47,100405,87,6,0.4
23,39815,66,6,0.83
48,97095,84,0,0.81
42,76303,41,6,0.52
25,118320,84,9,0.55
48,102106,71,8,0.73
53,67006,70,6,0.65
19,32938,63,9,0.8
24,37308,72,11,0.81
34,51999,52,10,0.46
37,132492,81,8,1.0
44,131800,100,7,0.69
27,29829,79,9,0.83
31,64729,46,5,0.6
34,64521,48,8,0.66
27,37072,60,15,0.8
28,35894,73,9,0.88
35,35050,53,7,0.5
43,100917,87,8,0.47
45,68520,50,0,0.54
18,41908,52,2,0.45
38,86995,41,3,0.11
43,41731,34,5,0.73
51,179096,88,12,0.37
34,100350,68,4,0.63
29,19147,46,12,0.7
25,70723,41,0,0.47
29,71748,71,5,0.75
29,17078,66,14,0.67
25,39317,66,17,0.61
37,110354,45,1,0.3
43,45329,47,7,0.66
20,31604,83,17,0.82
22,39189,60,18,0.76
52,169812,81,5,0.78
22,30493,54,7,0.84
21,33430,62,12,0.9
39,58361,53,6,0.61
26,110321,100,5,0.55
34,27063,50,9,0.82
48,73561,48,2,0.09
50,88828,41,0,0.31
20,21422,78,5,0.74
33,86932,31,3,0.0
27,49763,48,1,0.44
44,59552,39,0,0.32
41,82845,59,2,0.27
32,50559,65,1,0.31
18,34953,78,3,0.9
42,113005,83,4,0.61
41,61731,48,3,0.17
31,24175,74,13,0.89
18,28536,72,8,0.77
57,77136,45,4,0.27
50,90796,41,6,0.25
25,23606,54,13,0.88
24,53712,41,2,0.43
28,22373,43,14,0.88
57,102261,46,2,0.02
24,42997,57,9,0.75
58,75304,37,4,0.62
46,56715,27,4,0.48
44,132046,65,6,0.76
19,17494,60,6,0.69
31,62656,46,7,0.6
31,29377,65,12,0.84
45,116863,90,4,0.57
31,128196,78,8,0.45
32,32390,77,10,0.83
46,79008,42,0,0.32
38,114255,78,12,0.68
53,76294,34,2,0.27
37,31248,44,5,0.39
33,18493,82,6,0.8
23,37353,69,4,0.78
49,112161,62,12,0.63
45,143045,73,9,0.83
53,99819,50,5,0.1
35,24636,27,4,0.67
37,51567,65,8,0.5
54,52001,44,5,0.32
50,91727,56,7,0.38
60,131840,88,11,0.65
36,91859,53,1,0.29
53,50448,45,3,0.17
28,38239,65,0,0.77
32,27321,66,8,0.83
41,112622,78,9,0.43
40,80214,45,4,0.07
18,33388,94,11,0.92
18,46500,100,11,0.82
58,90294,42,0,0.23
26,30193,74,12,0.79
24,41297,47,15,0.72
30,58229,48,11,0.68
49,56536,55,5,0.05
48,104258,46,4,0.39
28,33426,53,10,0.8
55,66518,38,0,0.65
20,37885,57,23,0.64
30,68512,48,3,0.43
61,93824,35,2,0.23
44,78086,35,2,0.33
26,73001,83,11,0.47
53,58232,38,3,0.37
52,79818,34,4,0.18
22,32707,88,7,0.72
53,71493,30,8,0.28
24,31347,59,17,0.76
19,40540,66,13,0.73
30,128195,82,7,0.61
39,57678,53,8,0.62
44,94652,83,7,0.62
27,86064,58,2,0.45
59,98536,41,1,0.26
34,62742,41,9,0.61
47,90203,41,4,0.23
30,56074,28,12,0.6
28,22005,57,12,0.91
59,84794,41,6,0.22
22,36724,78,7,0.67
22,34373,88,16,0.87
49,85215,39,4,0.22
18,27065,76,9,1.0
31,112508,72,4,0.54
28,118744,72,1,0.4
59,185519,62,3,0.65
24,50337,40,7,0.21
27,39737,55,10,0.65
55,144921,67,8,0.42
34,45725,61,6,0.3
63,163965,79,1,0.73
51,129302,78,4,0.74
40,129728,76,10,0.55
18,22770,60,18,0.9
39,65348,46,6,0.56
52,147411,84,9,0.59
42,61157,65,4,0.39
21,26283,62,15,0.68
51,76226,46,1,0.2
