feature_a,feature_b
0.8604,1.2648
0.8709,0.9177
0.6245,0.9604
1.3392,1.2281
1.3129,1.1545
1.0882,1.1278
0.3669,1.4092
1.1272,1.2595
0.358,0.3176
0.6386,0.8534
1.0569,1.0307
1.1323,0.7803
1.058,1.2155
0.7186,1.7714
1.1448,1.5527
0.7329,0.7394
0.8296,1.0053
1.1712,1.1543
0.7934,0.6481
0.7678,1.5628
0.6672,1.1528
1.0993,0.4243
0.967,1.5986
0.245,0.9149
0.9129,0.7068
1.1241,1.0238
0.4374,1.3977
1.1843,1.4473
1.4542,1.2021
0.9917,0.5043
1.1654,0.7931
0.7916,0.5188
0.6113,0.8269
1.4011,0.1966
0.4398,1.1505
1.4552,1.293
0.285,-0.0077
1.0751,0.7408
0.5581,1.4605
1.3356,1.116
